City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,299.18,65,94,7.2,CK,1699495464
1,tourlaville,49.6383,-1.5664,280.83,87,75,4.63,FR,1699495713
2,stanley,54.868,-1.6985,278.43,92,75,1.54,GB,1699495198
3,port-aux-francais,-49.35,70.2167,278.91,94,100,16.4,TF,1699495730
4,grytviken,-54.2811,-36.5092,276.66,77,100,1.08,GS,1699495738
5,puerto ayora,-0.7393,-90.3518,297.9,93,94,3.13,EC,1699495752
6,nantucket,41.2835,-70.0995,279.18,60,0,5.66,US,1699495757
7,waitangi,-43.9535,-176.5597,285.27,80,40,4.02,NZ,1699495766
8,jimma,7.6667,36.8333,287.01,94,65,0.86,ET,1699495774
9,alofi,-19.0595,-169.9187,302.09,70,79,4.63,NU,1699495403
10,cartagena,10.3997,-75.5144,301.94,89,20,2.06,CO,1699495791
11,ilulissat,69.2167,-51.1,270.16,93,100,1.54,GL,1699495799
12,dongola,19.1667,30.4833,298.25,49,16,3.0,SD,1699495810
13,adamstown,-25.066,-130.1015,295.74,86,100,8.55,PN,1699495324
14,puerto leguizamo,-0.1934,-74.7819,296.53,99,98,1.07,CO,1699495834
15,ancud,-41.8697,-73.8203,281.4,87,83,2.6,CL,1699495844
16,edinburgh of the seven seas,-37.0676,-12.3116,286.47,73,15,9.49,SH,1699495854
17,lihue,21.9789,-159.3672,300.73,72,40,5.14,US,1699495281
18,palmer,42.1584,-72.3287,276.38,60,75,0.0,US,1699495872
19,port mathurin,-19.6833,63.4167,298.1,72,4,7.99,MU,1699495881
20,pacocha,-17.5833,-71.3333,290.84,85,82,1.06,PE,1699495480
21,kapuskasing,49.4169,-82.4331,270.2,80,100,4.12,CA,1699495898
22,olonkinbyen,70.9221,-8.7187,272.67,74,98,4.25,SJ,1699495906
23,alma,48.5501,-71.6491,265.57,90,9,2.15,CA,1699495820
24,flin flon,54.7682,-101.865,272.54,96,100,2.77,CA,1699495923
25,college,64.8569,-147.8028,272.33,69,75,3.6,US,1699495911
26,isafjordur,66.0755,-23.124,277.01,84,88,8.34,IS,1699495940
27,san antonio de pale,-1.4014,5.6325,299.14,76,45,4.72,GQ,1699495948
28,paita,-5.0892,-81.1144,292.94,82,73,7.06,PE,1699495956
29,wailua homesteads,22.0669,-159.378,300.39,79,40,5.14,US,1699495965
30,okhotsk,59.3833,143.3,258.13,82,4,6.99,RU,1699495974
31,homer,59.6425,-151.5483,276.09,78,100,1.54,US,1699495981
32,waingapu,-9.6567,120.2641,304.94,51,6,2.87,ID,1699495784
33,gavrilov posad,56.5597,40.1175,277.54,92,100,1.96,RU,1699495998
34,blackmans bay,-43.0167,147.3167,294.11,74,42,1.79,AU,1699496006
35,tura,25.5198,90.2201,294.58,70,2,0.6,IN,1699496015
36,howrah,22.5892,88.3103,296.15,83,3,0.0,IN,1699496023
37,kolpashevo,58.3131,82.9089,268.77,94,100,4.02,RU,1699496031
38,thompson,55.7435,-97.8558,271.24,74,75,3.09,CA,1699496039
39,adrar,20.5022,-10.0711,292.32,30,0,4.45,MR,1699496047
40,port elizabeth,-33.918,25.5701,286.66,82,0,2.06,ZA,1699496058
41,bambanglipuro,-7.95,110.2833,302.58,63,99,2.75,ID,1699496067
42,invercargill,-46.4,168.35,285.38,64,35,4.02,NZ,1699496076
43,tazovsky,67.4667,78.7,271.85,91,100,8.5,RU,1699496085
44,bethel,41.3712,-73.414,278.57,56,100,0.45,US,1699496093
45,hawaiian paradise park,19.5933,-154.9731,299.88,80,100,4.12,US,1699495963
46,kotlas,61.2611,46.6556,273.18,90,75,2.68,RU,1699496111
